2007	35.0	2007-12-30	Canberra	25.09
2008	40.9	2008-12-03	AliceSprings	23.09
2009	46.8	2009-02-07	MelbourneAirport	24.45
2010	44.2	2010-01-10	Mildura	23.49
2011	48.1	2011-01-25	Woomera	23.93
2012	45.5	2012-11-29	Mildura	23.62
2013	46.4	2013-01-18	SydneyAirport	24.39
2014	47.3	2014-01-03	Moree	24.79
2015	44.4	2015-01-05	Perth	24.47
2016	44.5	2016-01-13	Mildura	24.87
2017	46.3	2017-02-09	Mildura	25.24
